time,time_raw,flux
54962.5303759,54962.5303759,374.9625725953036
54962.5508105,54962.5508105,340.8445225745065
54962.571245,54962.571245,223.5560764907708
54962.5916796,54962.5916796,-61.444903206682525
54962.6121142,54962.6121142,-133.8878528555788
54962.6325488,54962.6325488,-26.95490486559579
54962.6529833,54962.6529833,136.77117675881266
54962.6734179,54962.6734179,246.7768697670825
54962.6938525,54962.6938525,361.0940923155521
54962.7142871,54962.7142871,23.172298104026442
54962.7347217,54962.7347217,-270.4016649042838
54962.7551562,54962.7551562,-546.9222691357446
54962.7755908,54962.7755908,-538.742899728438
54962.7960255,54962.7960255,-198.88133531650885
54962.81646,54962.81646,388.52673514132755
54962.8368945,54962.8368945,915.6143357562387
54962.8573291,54962.8573291,935.8089807341568
54962.8777637,54962.8777637,781.3309459570808
54962.8981983,54962.8981983,584.9317124352942
54962.9186329,54962.9186329,198.2282485109227
54962.9390674,54962.9390674,-36.66148004850608
54962.959502,54962.959502,133.27758490215837
54962.9799366,54962.9799366,235.89214962971064
54963.0003711,54963.0003711,389.84126504114516
54963.0208057,54963.0208057,311.4408947896497
54963.0412403,54963.0412403,259.9734022776227
54963.0616748,54963.0616748,-4.948436372174726
54963.0821094,54963.0821094,-251.69011001946492
54963.102544,54963.102544,-206.82806673577625
54963.1229785,54963.1229785,-105.04112876190176
54963.1434131,54963.1434131,6.566388924318403
54963.1638478,54963.1638478,-18.47957836963519
54963.1842823,54963.1842823,-142.69925789063964
54963.2047168,54963.2047168,-54.98869149693576
54963.2251514,54963.2251514,78.60210984190111
54963.2455861,54963.2455861,271.3749594052498
54964.512529,54964.512529,155.27290247539304
54964.5329637,54964.5329637,-122.382095643171
54964.5533982,54964.5533982,-182.93559099222762
54964.5738327,54964.5738327,-482.23379741493704
54964.5942673,54964.5942673,-856.8241211591198
54964.6147019,54964.6147019,-716.5488035882931
54964.6351364,54964.6351364,-327.1143762090592
54964.655571,54964.655571,-97.66268782775252
54964.6760056,54964.6760056,-68.36672485476339
54964.6964402,54964.6964402,123.7997171686209
54964.7168747,54964.7168747,208.4480911611855
54964.7373093,54964.7373093,222.8991330060793
54964.7577439,54964.7577439,57.584791483301046
54964.7781784,54964.7781784,4.841532038499455
54964.798613,54964.798613,-15.855779842256453
54964.8190476,54964.8190476,-56.907890668965905
54964.8394821,54964.8394821,-91.33583195117171
54964.8599167,54964.8599167,-276.3467380532723
54964.8803512,54964.8803512,-354.5306230552245
54964.9007858,54964.9007858,-314.78745552058473
54964.9212204,54964.9212204,-490.6572612148381
54964.9416549,54964.9416549,-325.3398129435492
54964.9620895,54964.9620895,-249.25821988751295
54964.9825241,54964.9825241,28.834667919552086
54965.0029586,54965.0029586,216.45187163205952
54965.0233931,54965.0233931,374.94949265875726
54965.0438278,54965.0438278,188.69222071723397
54965.0642623,54965.0642623,-69.06440475033637
54965.0846968,54965.0846968,-97.02585559654933
54965.1051314,54965.1051314,-142.6843461498921
54965.125566,54965.125566,24.769370921230966
54965.1460005,54965.1460005,163.32251182781573
54965.1664351,54965.1664351,78.0992785895851
54965.1868697,54965.1868697,110.81939709113311
54965.2073043,54965.2073043,-60.366498001043865
54965.2277388,54965.2277388,-250.77349857198857
54965.2481733,54965.2481733,-167.84882420829115
54965.268608,54965.268608,-48.28408280291046
54965.2890425,54965.2890425,70.64246121121826
54965.309477,54965.309477,428.83308807249745
54965.3299117,54965.3299117,547.6440615311003
54965.3503462,54965.3503462,562.2243310674589
54965.3707807,54965.3707807,284.85009632377563
54965.3912153,54965.3912153,44.50565078416113
54965.4116499,54965.4116499,-246.45643135764777
54965.4320844,54965.4320844,-262.475849525719
54965.452519,54965.452519,-125.18794617724285
54965.4729537,54965.4729537,22.39066620143533
54965.4933881,54965.4933881,111.87256224416798
54965.5138227,54965.5138227,-108.829308681189
54965.5342572,54965.5342572,-331.1867599030962
54965.554691799996,54965.554691799996,-351.063716555969
54965.5751264,54965.5751264,-231.54697064861602
54965.5955609,54965.5955609,-192.40095328984563
54965.6159955,54965.6159955,-218.72210317642717
54965.6364301,54965.6364301,-184.1459380599419
54965.6568647,54965.6568647,-131.21579149034932
54965.6772991,54965.6772991,-54.34341833111702
54965.6977338,54965.6977338,450.24124464550755
54965.7181684,54965.7181684,344.74456591942146
54965.7386028,54965.7386028,178.4020415443549
54965.7590375,54965.7590375,58.56351949350949
54965.7794721,54965.7794721,-112.46775426619631
54965.7999065,54965.7999065,181.91451627310232
54965.8203411,54965.8203411,416.2967515847035
54965.8407757,54965.8407757,581.35945310109
54965.8612102,54965.8612102,503.70994015647966
54965.8816448,54965.8816448,455.4905643344215
54965.9020794,54965.9020794,344.7649642739295
54965.9225139,54965.9225139,239.54979039205185
54965.9429485,54965.9429485,151.6923106162324
54965.963383,54965.963383,95.47529260415283
54965.9838177,54965.9838177,-22.821779002435928
